,body_text,label,body_text_clean,body_text_tokenized,body_text_nostop,body_text_stemmed,body_text_pos
0,This totally topped off my week :') #sarcasm,NOT_SARCASM,this totally topped off my week,"['this', 'totally', 'topped', 'off', 'my', 'week']","['totally', 'topped', 'week']","['total', 'top', 'week']","['total_JJ', 'top_JJ', 'week_NN']"
1,Wow.. How freaking awesome was that. #Sarcasm,NOT_SARCASM,wow how freaking awesome was that,"['wow', 'how', 'freaking', 'awesome', 'was', 'that']","['wow', 'freaking', 'awesome']","['wow', 'freak', 'awesom']","['wow_NN', 'freak_NN', 'awesom_NN']"
2,Summers over and it was shit. Only sunny day was a bbq in north west with @Kade_96 and @Jess_birch95 hahhahaaa #amazing #sarcasm,NOT_SARCASM,summers over and it was shit only sunny day was a bbq in north west with kade and jess birch hahhahaaa,"['summers', 'over', 'and', 'it', 'was', 'shit', 'only', 'sunny', 'day', 'was', 'a', 'bbq', 'in', 'north', 'west', 'with', 'kade', 'and', 'jess', 'birch', 'hahhahaaa']","['summers', 'shit', 'sunny', 'day', 'bbq', 'north', 'west', 'kade', 'jess', 'birch', 'hahhahaaa']","['summer', 'shit', 'sunni', 'day', 'bbq', 'north', 'west', 'kade', 'jess', 'birch', 'hahhahaaa']","['summer_NN', 'shit_NNS', 'sunni_JJ', 'day_NN', 'bbq_VBD', 'north_JJ', 'west_JJS', 'kade_NN', 'jess_NN', 'birch_NN', 'hahhahaaa_NN']"
3,Did you know that one of Bolshoi Ballet members was born in Maranhão? Bruna Gaglianone is part of the Moscow group! http://t.co/LG3SME1l,NOT_SARCASM,did you know that one of bolshoi ballet members was born in maranh o bruna gaglianone is part of the moscow group,"['did', 'you', 'know', 'that', 'one', 'of', 'bolshoi', 'ballet', 'members', 'was', 'born', 'in', 'maranh', 'o', 'bruna', 'gaglianone', 'is', 'part', 'of', 'the', 'moscow', 'group']","['know', 'one', 'bolshoi', 'ballet', 'members', 'born', 'maranh', 'bruna', 'gaglianone', 'part', 'moscow', 'group']","['know', 'one', 'bolshoi', 'ballet', 'member', 'born', 'maranh', 'bruna', 'gaglianon', 'part', 'moscow', 'group']","['know_VB', 'one_CD', 'bolshoi_JJ', 'ballet_NN', 'member_NN', 'born_VBN', 'maranh_JJ', 'bruna_NN', 'gaglianon_NN', 'part_NN', 'moscow_NN', 'group_NN']"
4,I just love missing the bus! ☺ #sarcasm,SARCASM,i just love missing the bus,"['i', 'just', 'love', 'missing', 'the', 'bus']","['love', 'missing', 'bus']","['love', 'miss', 'bu']","['love_VB', 'miss_NN', 'bu_NN']"
5,@babee_kayyy lol itold you iwasnt coming . :) what we do in class ?,NOT_SARCASM,babee kayyy lol itold you iwasnt coming what we do in class,"['babee', 'kayyy', 'lol', 'itold', 'you', 'iwasnt', 'coming', 'what', 'we', 'do', 'in', 'class']","['babee', 'kayyy', 'lol', 'itold', 'iwasnt', 'coming', 'class']","['babe', 'kayyy', 'lol', 'itold', 'iwasnt', 'come', 'class']","['babe_NN', 'kayyy_NN', 'lol_NN', 'itold_JJ', 'iwasnt_JJ', 'come_VBN', 'class_NN']"
6,Gee wiz what a great day so far. You can cut the tension with a knife and they think im faking #great. #sarcasm,SARCASM,gee wiz what a great day so far you can cut the tension with a knife and they think im faking,"['gee', 'wiz', 'what', 'a', 'great', 'day', 'so', 'far', 'you', 'can', 'cut', 'the', 'tension', 'with', 'a', 'knife', 'and', 'they', 'think', 'im', 'faking']","['gee', 'wiz', 'great', 'day', 'far', 'cut', 'tension', 'knife', 'think', 'im', 'faking']","['gee', 'wiz', 'great', 'day', 'far', 'cut', 'tension', 'knife', 'think', 'im', 'fake']","['gee_NN', 'wiz_WRB', 'great_JJ', 'day_NN', 'far_RB', 'cut_VBD', 'tension_JJ', 'knife_FW', 'think_VBP', 'im_NNS', 'fake_VBP']"
7,This lab class boring af,NOT_SARCASM,this lab class boring af,"['this', 'lab', 'class', 'boring', 'af']","['lab', 'class', 'boring', 'af']","['lab', 'class', 'bore', 'af']","['lab_NN', 'class_NN', 'bore_NN', 'af_NN']"
8,If I could put into words how much I love waking up at 5 am on Tuesday's I would.... 😒 #sarcasm.,SARCASM,if i could put into words how much i love waking up at am on tuesdays i would,"['if', 'i', 'could', 'put', 'into', 'words', 'how', 'much', 'i', 'love', 'waking', 'up', 'at', 'am', 'on', 'tuesdays', 'i', 'would']","['could', 'put', 'words', 'much', 'love', 'waking', 'tuesdays', 'would']","['could', 'put', 'word', 'much', 'love', 'wake', 'tuesday', 'would']","['could_MD', 'put_VB', 'word_NN', 'much_RB', 'love_VB', 'wake_NN', 'tuesday_NN', 'would_MD']"
9,I actually did something with my hair today #firsttimeinmonths #weird d,NOT_SARCASM,i actually did something with my hair today d,"['i', 'actually', 'did', 'something', 'with', 'my', 'hair', 'today', 'd']","['actually', 'something', 'hair', 'today']","['actual', 'someth', 'hair', 'today']","['actual_JJ', 'someth_NN', 'hair_NN', 'today_NN']"
10,Thanks @PippaCarlson1 your tweets are great #sarcasm,NOT_SARCASM,thanks pippacarlson your tweets are great,"['thanks', 'pippacarlson', 'your', 'tweets', 'are', 'great']","['thanks', 'pippacarlson', 'tweets', 'great']","['thank', 'pippacarlson', 'tweet', 'great']","['thank_NN', 'pippacarlson_NN', 'tweet_NN', 'great_JJ']"
11,I really admire your maturity. #sarcasm,NOT_SARCASM,i really admire your maturity,"['i', 'really', 'admire', 'your', 'maturity']","['really', 'admire', 'maturity']","['realli', 'admir', 'matur']","['realli_NN', 'admir_NN', 'matur_NN']"
12,@lilylovehermore I knew I'd heard that name somewhere!,NOT_SARCASM,lilylovehermore i knew id heard that name somewhere,"['lilylovehermore', 'i', 'knew', 'id', 'heard', 'that', 'name', 'somewhere']","['lilylovehermore', 'knew', 'id', 'heard', 'name', 'somewhere']","['lilylovehermor', 'knew', 'id', 'heard', 'name', 'somewher']","['lilylovehermor_NN', 'knew_VBD', 'id_JJ', 'heard_NN', 'name_NN', 'somewher_NN']"
13,I just love getting a random schedule change and not even knowing about it!:) #sarcasm,SARCASM,i just love getting a random schedule change and not even knowing about it,"['i', 'just', 'love', 'getting', 'a', 'random', 'schedule', 'change', 'and', 'not', 'even', 'knowing', 'about', 'it']","['love', 'getting', 'random', 'schedule', 'change', 'even', 'knowing']","['love', 'get', 'random', 'schedul', 'chang', 'even', 'know']","['love_VB', 'get_NN', 'random_JJ', 'schedul_NN', 'chang_VBD', 'even_RB', 'know_VB']"
14,"China’s iOS, Android growth up more than 400% in last year according to Flurry. Chile is 2nd at 279%. http://t.co/7nj6qiY9",NOT_SARCASM,china s ios android growth up more than in last year according to flurry chile is nd at,"['china', 's', 'ios', 'android', 'growth', 'up', 'more', 'than', 'in', 'last', 'year', 'according', 'to', 'flurry', 'chile', 'is', 'nd', 'at']","['china', 'ios', 'android', 'growth', 'last', 'year', 'according', 'flurry', 'chile', 'nd']","['china', 'io', 'android', 'growth', 'last', 'year', 'accord', 'flurri', 'chile', 'nd']","['china_NN', 'io_NN', 'android_NN', 'growth_NN', 'last_JJ', 'year_NN', 'accord_NN', 'flurri_NN', 'chile_NN', 'nd_NN']"
15,I've got to get my money back this time 💰🍁👌,NOT_SARCASM,ive got to get my money back this time,"['ive', 'got', 'to', 'get', 'my', 'money', 'back', 'this', 'time']","['ive', 'got', 'get', 'money', 'back', 'time']","['ive', 'got', 'get', 'money', 'back', 'time']","['ive_JJ', 'got_VBD', 'get_VB', 'money_NN', 'back_RB', 'time_NN']"
16,@Will_Piper should move back up fella. I'm already here... On my own... Having loads of fun #sarcasm,NOT_SARCASM,will piper should move back up fella im already here on my own having loads of fun,"['will', 'piper', 'should', 'move', 'back', 'up', 'fella', 'im', 'already', 'here', 'on', 'my', 'own', 'having', 'loads', 'of', 'fun']","['piper', 'move', 'back', 'fella', 'im', 'already', 'loads', 'fun']","['piper', 'move', 'back', 'fella', 'im', 'alreadi', 'load', 'fun']","['piper_NN', 'move_NN', 'back_RB', 'fella_NN', 'im_NN', 'alreadi_NN', 'load_NN', 'fun_NN']"
